"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","The festive season can feel anything but restful. Restore a sense of calm with @AureliaSkincares Peaceful Glow col ",FALSE,8,NA,2017-12-03 16:26:01,TRUE,NA,"937357262632480769",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"47","A sophisticated fusion of a clutch and a shoulder bag, @Pradas Wallet On A Chain bag is perfect for any occasion  ",FALSE,3,NA,2017-12-03 14:30:06,TRUE,NA,"937328092707803136",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"48","She helped to kick-start the reality TV phenomenon, but now @NicoleRichie is making people laugh for all the right ",FALSE,17,NA,2017-12-03 12:27:01,TRUE,NA,"937297118653505536",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",5,FALSE,FALSE,NA,NA
"49","The genius packing formula to solve day-to-night dressing with just a carry-on #THEEDIT  ",FALSE,18,NA,2017-12-03 10:10:01,FALSE,NA,"937262639998259201",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",3,FALSE,FALSE,NA,NA
"50","The game-changing beauty trifecta that never fails to make the dress code #THEEDIT ",FALSE,11,NA,2017-12-02 23:03:01,FALSE,NA,"937094785650831366",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"51","Currently pinning: the accessories edit. An instant cult hit, we love how @LeSpecsOfficials cat-eye sunglasses com ",FALSE,15,NA,2017-12-02 21:42:01,TRUE,NA,"937074398846246912",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"52","Printed with vibrant florals, @AllThingsMochis handcrafted pieces are intended to symbolize fun, integrity, unity ",FALSE,11,NA,2017-12-02 19:36:01,TRUE,NA,"937042689408880640",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",4,FALSE,FALSE,NA,NA
"53","""It's our responsibility - through the media - to create the new normal in terms of what is and isn't ok"". Our bril ",FALSE,8,NA,2017-12-02 17:15:38,TRUE,NA,"937007359897096192",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"54","@sophierimmerr To better assist you, please DM us your registered email address.",FALSE,0,"sophierimmerr",2017-12-02 16:11:00,FALSE,"936965957477715969","936991097838030848","1349724620","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"55","Your weekend update is here  shop the newest pieces now at #NETAPORTER. ",FALSE,13,NA,2017-12-02 15:01:01,FALSE,NA,"936973483438899201",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",3,FALSE,FALSE,NA,NA
"56","From asymmetric knitwear to printed tees, we asked @Margiela to tap into its archives to create a street style-insp ",FALSE,13,NA,2017-12-02 14:12:01,TRUE,NA,"936961151837134848",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"57","#THEEDIT sits down with @Insecurehbo's @YvonneOrji + 4 of the most compelling women in TV right now ",FALSE,138,NA,2017-12-02 12:34:01,TRUE,NA,"936936491225370626",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",31,FALSE,FALSE,NA,NA
