"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"72","Our own Candice Fragis joined @BritishVogue to talk #LFW. Watch now! ",FALSE,2,NA,2017-10-01 21:03:12,FALSE,NA,"914596584490446848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",1,FALSE,FALSE,NA,NA
"73","Need a wardrobe reboot? 400+ new arrivals have just landed at Farfetch: ",FALSE,4,NA,2017-10-01 07:00:33,FALSE,NA,"914384522262843392",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"74","From @Versace to @Burberry, these are the perfect looks for your mini-me: ",FALSE,7,NA,2017-10-01 00:06:18,FALSE,NA,"914280274829115394",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"75","5 fashion houses with a fresh creative vision = 5 coveted collections to shop this season: ",FALSE,6,NA,2017-09-30 19:50:07,FALSE,NA,"914215804731891712",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",5,FALSE,FALSE,NA,NA
"76","Just landed! @amiparis s exclusive new capsule collection covers all the essentialsand much more: ",FALSE,7,NA,2017-09-30 11:01:35,TRUE,NA,"914082791872229376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",2,FALSE,FALSE,NA,NA
"77","Meet the 5 fashion bloggers falling for @TemperleyLondon's coolest collection yet: ",FALSE,8,NA,2017-09-29 09:30:14,FALSE,NA,"913697418855804928",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"78","Five-year-old you is about to be very happy@Moschino's My Little Pony collection has arrived straight from #MFW: ",FALSE,6,NA,2017-09-28 21:20:58,TRUE,NA,"913513889693880321",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",4,FALSE,FALSE,NA,NA
"79","That's a wrap on #MFW! What was your favourite moment?",FALSE,3,NA,2017-09-25 01:12:22,FALSE,NA,"912122572359299072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",1,FALSE,FALSE,NA,NA
"80","10 easy-to-wearbut avant-gardetailored vintage picks by @dotcommestore: ",FALSE,3,NA,2017-09-24 22:00:22,FALSE,NA,"912074256560873473",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"81","Oscar de la Renta kidswearneed we say more? @OscardelaRenta ",FALSE,8,NA,2017-09-24 21:05:29,FALSE,NA,"912060444604497920",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
